SMGP801,电信,用户非法、空号、停机,建议用户更换手机卡或充值
SMGP802,电信,关机,建议用户开机重试
SMGP815,电信,用户欠费停机,建议用户充值重试
SMGP840,电信,被叫为空号,建议用户开通服务或更换手机卡
SMGPERR:117,电信,未知原因错误,建议反馈客服人员进行问题核查
SMGPERR:13,电信,"保留,电信网关的错误",建议反馈客服人员进行问题核查
SMGPERR:14,电信,"保留,电信网关的错误",建议反馈客服人员进行问题核查
SMGPERR:15,电信,"保留,电信网关的错误",建议反馈客服人员进行问题核查
SMGPERR:16,电信,"保留,电信网关的错误",建议反馈客服人员进行问题核查
SMGPERR:17,电信,"保留,电信网关的错误",建议反馈客服人员进行问题核查
SMGPERR:18,电信,"保留,电信网关的错误",建议反馈客服人员进行问题核查
SMGPERR:19,电信,"保留,电信网关的错误",建议反馈客服人员进行问题核查
SMGPERR:23,电信,"保留,电信网关的错误",建议反馈客服人员进行问题核查
SMGPERR:24,电信,"保留,电信网关的错误",建议反馈客服人员进行问题核查
SMGPERR:25,电信,"保留,电信网关的错误",建议反馈客服人员进行问题核查
SMGPERR:26,电信,"保留,电信网关的错误",建议反馈客服人员进行问题核查
SMGPERR:27,电信,"保留,电信网关的错误",建议反馈客服人员进行问题核查
SMGPERR:28,电信,"保留,电信网关的错误",建议反馈客服人员进行问题核查
SMGPERR:29,电信,"保留,电信网关的错误",建议反馈客服人员进行问题核查
SMGPERR:56,电信,未知原因错误,建议反馈客服人员进行问题核查
SPMSERR:999,电信,"未知错误,电信网关的错误",建议反馈客服人员进行问题核查
UNDELIV_601,电信,暂停服务,建议用户更换号码或开通服务重试
UNDELIV_640,电信,空号,建议用户更换号码或开通服务重试
UNDELIV_705,电信,暂停服务,建议用户更换号码或开通服务重试
UNDELIV_801,电信,暂停服务,建议用户更换号码或开通服务重试
MX:0013,电信,目标号码在网关黑名单中,建议联系客服人员进行黑名单解除
ID:0105,三网,业务代码错误,
5:00,三网,VMSC:未标识用户,
ID:0104,三网,用户没有使用该业务的权限,
6:00,三网,VMSC:SM缺席用户,
ID:0103,三网,用户欠费,
9:00,三网,VMSC:非法用户,
ID:0102,三网,用户停机,
11:00,三网,电信业务不支持,
ID:0101,三网,手机号码错误,
12:00,三网,非法设备，如2:12,
ID:0100,三网,手机号码不存在,
13:00,三网,呼叫禁止,
ID:0097,三网,此用户为接收者黑名单用户。,不用处理。
21:00,三网,HLR:功能不支持,
ID:0096,三网,此用户为发送者黑名单用户。,不用处理。
27:00:00,三网,VMSC:缺席用户,
ID:0089,三网,到MDSP鉴权时，网关构造等待应答实体失败。,保存话单、日志、等待状态报告和帐号文件，重新启动主进程smsapp。
31:00:00,三网,用户忙失败,
ID:0088,三网,等MDSP应答超时，网关重发鉴权消息。,不用处理。
32:00:00,三网,短信投递失败（对端未带诊断码）,
ID:0087,三网,因MDSP流控，网关重发鉴权消息。,不用处理。
34:00:00,三网,GMSC:未知原因,
ID:0086,三网,因MDSP系统忙，且缓存满，网关重发鉴权消息。,不用处理。
35:00:00,三网,VMSC:数据缺失,
ID:0085,三网,因MDSP系统忙，网关重发鉴权消息。,不用处理。
36:00:00,三网,VMSC:非预期数据,
ID:0084,三网,网关向MDSP重发鉴权消息失败。,查看连接是否正常。
61:00:00,三网,超出流量限制,
ID:0083,三网,短消息内容超过了接收侧的好大长度。,–
67:00:00,三网,黑名单,
ID:0082,三网,循环路由。,请检查路由配置是否正确或者通过维测台跟踪消息是否存在循环路由。
86:00:00,三网,黑名单,
ID:0081,三网,发送接收接口重复。,查看从重发进程过来的消息发送ID和接收ID是否相同。
90:00:00,三网,终端故障,
ID:0080,三网,CPCode错误。,固网一级网关，SP下发的消息没有以118为前缀，或者互联网关消息没有以CPID为前缀。
91:00:00,三网,终端不支持SMS,
ID:0079,三网,业务类型为空。,不用处理。
92:00:00,三网,MS存贮容量满,
ID:0078,三网,SPID为空。,不用处理。
100:00:00,三网,被叫用户呼叫无响应,
ID:0077,三网,超过好大Submit提交数。,重新设置该帐号好大提交数。
101:00:00,三网,VMSC:被叫用户关机,
ID:0075,三网,送SCP鉴权等待应答超时。,查看SCP是否正常，连接是否正常。
102:00:00,三网,VMSC:MS漫游限制,
ID:0074,三网,送SCP失败。,查看SCP帐号下的接口是否正常。
103:00:00,三网,VMSC:用户被清除,
ID:0073,三网,等待应答超时。,查看网络连接是否正常，请检查对断网元没有应答的原因。
104:00:00,三网,VMSC:未标识短信用户,
ID:0072,三网,找不到路由。,请检查消息是否正常，是否有相应的路由存在。如果不是上述问题，请联系华为公司当地办事处技术服务工程师处理。
106:00:00,三网,MS响应超时无响应,
ID:0071,三网,超过好大节点数。,请检查消息是否正常，消息转发的节点数是否超过了好大限制。如果不是上述问题，请联系华为公司当地办事处技术服务工程师处理。
107:00:00,三网,HLR返回:用户注销,
ID:0069,三网,此用户为黑名单用户。,不用处理。
110:00:00,三网,GMSC申请资源失败,
ID:0068,三网,用户鉴权失败。,请检查路由接收帐号是否存在或者是否为没有此项操作的权限。
111:00:00,三网,GMSC与HLR对话失败,
ID:0067,三网,信息靠谱鉴权失败,不用处理。
112:00:00,三网,GMSC与HLR对话超时,
ID:0066,三网,接收服务源地址鉴权失败。,不用处理。
113:00:00,三网,GMSC收到HLR Abort,
MA:0024,三网,内容未报备,
ID:0065,三网,发送服务目的地址鉴权失败。,不用处理。
114:00:00,三网,HLR返回:路由证实数据错误,
MA:0025,三网,不支持该短信,
ID:0064,三网,发送服务源地址鉴权失败。,不用处理。
115:00:00,三网,HLR返回:Inform指示参数错误,
MA:0026,三网,分条发送，组包超时,
ID:0063,三网,不能识别的FeeType。,查看FeeType是否为非法的值为空、非数字、小于0或者大于7等非法值。
116:00:00,三网,GMSC与VMSC对话失败,
MA:0027,三网,通道黑名单,
ID:0062,三网,定时发送时间已经过期。,不用处理。
117:00:00,三网,GMSC收到VMSCAbort,
MA:0028,三网,全局黑名单号段,
ID:0061,三网,时间已经过期。,如果少量消息出现该错误，不用处理。如果大量消息出现该错误，请通过维测台跟踪消息，检查消息中的期是否设置正确。
118:00:00,三网,收到VMSC系统错误,
MA:0029,三网,通道黑名单号段,
ID:0056,三网,用户鉴权时，用户状态不正常。,查看用户鉴权时，用户状态是否正常。
119:00:00,三网,GMSC:后续短消息长度错误,
MA:0030,三网,直接产生拒绝报告,
ID:0055,三网,等待状态报告超时。,查看短信或者对端网元网关的连接是否正常，各个网元之间连接是否正常。
120:00:00,三网,GMSC:错误代码版本不一样,
MO:200,三网,不支持分条短信,
ID:0054,三网,超时，未接收到响应消息。,查看连接是否正常。
121:00:00,三网,SMSRelease异常,
MO:0254,三网,转发提交超时,
ID:0053,三网,发送消息失败。,请重新发送该消息。
122:00:00,三网,GMSC:该VMSC被隔离,
ID:0052,三网,尚未成功登录。,请先登录。
181:00:00,三网,禁止业务执行,
MB:0255,三网,"移动错误,不处理",
ID:0051,三网,尚未建立连接。,请检查网络连接是否正常，重新连接。
182:00:00,三网,禁止操作,
MB:0193,三网,SMSC服务商自定义的错误码,
ID:0049,三网,超出单次好大群发量,查看该SP下发的Submit消息中的目的地址数量已超过单次好大群发量。
215:00:00,三网,HLR返回:MS漫游限制,
MB:0241,三网,SMSC服务商自定义的错误码,
ID:0048,三网,超出每日好大群发次数,查看该SP当日发送的群发次数是否已超过每日好大群发次数。
217:00:00,三网,HLR返回:SM缺席用户,
MB:0244,三网,SMSC服务商自定义的错误码,
ID:0047,三网,超出每月好大群发次数,查看该SP当月发送的群发次数是否已超过每月好大群发次数。
218:00:00,三网,HLR返回:非法用户,
MB:0250,三网,SMSC服务商自定义的错误码,
ID:0046,三网,超出每日好大发送量,查看该SP当日发送的消息数量是否已超过每日好大发送量。
219:00:00,三网,HLR返回:缺席用户,
ID:0045,三网,超出每月好大发送量。,查看该SP当月发送的消息数量是否已超过每月好大发送量。
220:00:00,三网,HLR返回:被叫用户关机,
ID:0044,三网,消息发送不在时间段内。,查看当前时间是否在该SP的限制发送时间段内。
UNDELIV:601,电信,用户因为状态不正确如处于停机、挂起等状态而导致用户无法接收到短信,请核实手机终端是否处于正常状态
MM:064,三网,移動屏蔽,
ID:0043,三网,禁止向异网发送消息。,查看SP下发的消息的目的地址是否属于异网号段，该SP是否配置为禁止向异网发送消息。
EXPIRED:602,电信,用户因为状态不正确如处于停机、挂起等状态而导致用户无法接收到短信,请核实手机终端是否处于正常状态
ID:0021,三网,MDSP用户鉴权模块，用户销户错误。,
UNDELIV:640,电信,用户因为状态不正确如处于停机、挂起等状态而导致用户无法接收到短信,请核实手机终端是否处于正常状态
MX:0004,三网,内容含有屏蔽词，拒绝发送,
ID:0020,三网,MDSP用户鉴权模块，鉴权用户停机或欠费错误。,
REJECTD:006,电信,短消息因为某种原因被拒绝,请核实短信是否为行业短信，如是，可以请用户致电联通客服确认号码的短信业务是否开通
MK:0210,三网,MS错误。,检查被叫手机是否有接收短消息的功能。
ID:0014,三网,禁止发送WAP PUSH消息。,查看是否发送了WAP PUSH消息
UNDELIV:705,电信,用户因为状态不正确如处于停机、挂起等状态而导致用户无法接收到短信,请核实手机终端是否处于正常状态
MK:0209,三网,SIM中没有存储短消息的能力。,检查被叫手机的SIM卡是否不能存储短消息。
ID:0012,三网,计费地址错误。,计费地址为空或者计费地址为非手机号码，或者计费地址不为空但是没有路由帐号。电信二级网关的计费地址的路由帐号类型不是短信的类型，也不是前转网关类型。
EXPIRED:760,电信,用户因为状态不正确如处于停机、挂起等状态而导致用户无法接收到短信,请核实手机终端是否处于正常状态
MK:0208,三网,SIM（Subscriber Identity Module）中存储短消息的空间满。,检查被叫手机是否SIM卡已满。
ID:0011,三网,Msg_src错误。,SPID字段的数值小于0或者大于规定的好大值（99999），或者是SPID的值和设备代码从第五位开始的值不相等。
EXPIRED:601,电信,用户因为状态不正确如处于停机、挂起等状态而导致用户无法接收到短信,请核实手机终端是否处于正常状态
